,movie,genre,cinema,place,movie_link,showtime,age_limit,language,rating
87,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,16:00,Reservation,E/gf,4.3
88,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,16:15,Reservation,G,4.3
89,Dune,"Action, Adventure, Drama, Sci-fi",blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,16:30,Reservation,E/gf,4.3
90,Dune,"Action, Adventure, Drama, Sci-fi",blue Cinema Corso,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,16:45,Reservation,E/gf,4.3
91,Dune,"Action, Adventure, Drama, Sci-fi",Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,16:50,Reservation,E/gf,4.3
92,Nomadland,Drama,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/Nomadland/,16:00,12/6Y.,E/gf,3.9
93,Nomadland,Drama,Riffraff,Zürich,https://www.cineman.ch/en/movie/2020/Nomadland/,16:10,12/6Y.,E/gf,3.9
94,Billie,"Documentary, Music",Arthouse Piccadilly,Zürich,https://www.cineman.ch/en/movie/2019/Billie/,16:10,16/10Y.,E/gf,4.7
95,Die Pazifistin - Gertrud Woker: Eine vergessene Heldin,Documentary,Arthouse Movie,Zürich,https://www.cineman.ch/en/movie/2021/DiePazifistinGertrudWoker/,16:10,12Y.,G,5.0
96,La Fine Fleur,"Comedy, Drama",Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/LaFineFleur/,16:10,Reservation,F/g,4.5
97,Bekenntnisse des Hochstaplers Felix Krull,Drama,blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,16:30,12Y.,G,3.7
98,Gaza mon amour,"Comedy, Drama, Romance",Arthouse Movie,Zürich,https://www.cineman.ch/en/movie/2020/Apollo/,16:30,16/12Y.,O/gf,not available
99,Heitere Fahne,Documentary,Riffraff,Zürich,https://www.cineman.ch/en/movie/2021/HeitereFahne/,16:30,CH/e,CH/e,not available
100,The Hitman's Wife's Bodyguard,"Action, Comedy, Thriller",blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2020/TheHitmansWifesBodyguard/,16:30,16Y.,E/gf,3.5
101,Programm 1,,Xenix,Zürich,https://www.cineman.ch/en/showtimes/cinema/xenix-zurich/343/,16:30,O,O,
102,The Father,Drama,Houdini,Zürich,https://www.cineman.ch/en/movie/2020/TheFather/,16:30,14/12Y.,E/gf,4.4
103,Dune,"Action, Adventure, Drama, Sci-fi",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,17:00,14/12Y.,G,4.3
104,Dune,"Action, Adventure, Drama, Sci-fi",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,17:00,14/12Y.,E/gf,4.3
105,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,17:00,14/12Y.,E/gf,4.3
106,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,17:30,14/12Y.,G,4.3
107,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,17:40,14/12Y.,E/gf,4.3
108,Dune,"Action, Adventure, Drama, Sci-fi",Houdini,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,17:10,14/12Y.,E/gf,4.3
